player_name,player_url,player_birthday,player_height,player_foot,position,country_from,league_from,club_from,club_from_url,country_to,league_to,club_to,club_to_url,fee,year
Marco Silvestri,https://www.transfermarkt.com/marco-silvestri/profil/spieler/85528,"Mar 2, 1991",191,right,Goalkeeper,Italy,Serie A,Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2021,Italy,Serie A,Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2021,2500000,2021
Marcos Paulo,https://www.transfermarkt.com/marcos-paulo/profil/spieler/612496,"Feb 1, 2001",186,right,Left Winger,Brazil,Série A,Fluminense Football Club,https://www.transfermarkt.com/fluminense-rio-de-janeiro/startseite/verein/2462/saison_id/2021,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,free transfer,2021
Patrick Cutrone,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078,"Jan 3, 1998",183,right,Centre-Forward,England,Premier League,Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2021,Italy,Serie A,FC Empoli,https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2021,loan transfer,2021
Marcos Paulo,https://www.transfermarkt.com/marcos-paulo/profil/spieler/612496,"Feb 1, 2001",186,right,Left Winger,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,Portugal,Liga Portugal,FC Famalicão,https://www.transfermarkt.com/fc-famalicao/startseite/verein/3329/saison_id/2021,loan transfer,2021
Loren Morón,https://www.transfermarkt.com/loren-moron/profil/spieler/354741,"Dec 30, 1993",185,right,Centre-Forward,Spain,LaLiga,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2021,Spain,LaLiga,RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2021,loan transfer,2021
Willian,https://www.transfermarkt.com/willian/profil/spieler/52769,"Aug 9, 1988",175,right,Left Winger,England,Premier League,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2021,Brazil,Série A,Sport Club Corinthians Paulista,https://www.transfermarkt.com/corinthians-sao-paulo/startseite/verein/199/saison_id/2021,free transfer,2021
Reiss Nelson,https://www.transfermarkt.com/reiss-nelson/profil/spieler/340325,"Dec 10, 1999",175,right,Right Winger,England,Premier League,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2021,Netherlands,Eredivisie,Feyenoord Rotterdam,https://www.transfermarkt.com/feyenoord-rotterdam/startseite/verein/234/saison_id/2021,loan transfer,2021
Yacine Adli,https://www.transfermarkt.com/yacine-adli/profil/spieler/395236,"Jul 29, 2000",186,right,Attacking Midfield,Italy,Serie A,AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2021,France,Ligue 1,FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2021,loan transfer,2021
Javairô Dilrosun,https://www.transfermarkt.com/javairo-dilrosun/profil/spieler/315125,"Jun 22, 1998",175,left,Left Winger,Germany,Bundesliga,Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2021,France,Ligue 1,FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2021,loan transfer,2021
Orbelín Pineda,https://www.transfermarkt.com/orbelin-pineda/profil/spieler/334042,"Mar 24, 1996",169,right,Left Winger,Mexico,Liga MX Clausura,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/startseite/verein/3711/saison_id/2021,Spain,LaLiga,Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2021,free transfer,2021
Marcos André,https://www.transfermarkt.com/marcos-andre/profil/spieler/481084,"Oct 20, 1996",185,right,Centre-Forward,Spain,LaLiga2,Real Valladolid CF,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2021,Spain,LaLiga,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2021,8500000,2021
Tajon Buchanan,https://www.transfermarkt.com/tajon-buchanan/profil/spieler/638793,"Feb 8, 1999",183,right,Right Winger,United States,MLS,New England Revolution,https://www.transfermarkt.com/new-england-revolution/startseite/verein/626/saison_id/2021,Belgium,Jupiler Pro League,Club Brugge KV,https://www.transfermarkt.com/fc-brugge/startseite/verein/2282/saison_id/2021,6360000,2021
